1	0	struct S0 { f0: i64, f1: i64 } enum E0 { A(i64), B(i64), C } fn main() { let s0 = S0 { f0: ((3 / 9) - (8 - 2)), f1: ((1 - 3) - (9 + 7)) }; let e0 = E0::C; let ev = match e0 { E0::A(n) => (n + s0.f0), E0::B(n) => (n - (s0.f0 - 7)), E0::C => (1 + s0.f0) }; let v0 = (((5 % 1) / 7) - ((8 + 0) - (7 * 5))); let v1 = s0.f1; let o0: Option<i64> = Some((s0.f1 - (7 % 2))); let ov = match o0 { Some(n) => (n + (0 + 5)), None => (v1 + 7) }; let cl = |x: i64| (x + (5 * 0)); let w0 = 9223372036854775807i64.wrapping_add(8000000000000000000).wrapping_mul(7); let mut acc = 0; let mut li = 0; while li < 6 { acc = acc + li; li = li + 1; } let t0 = (ev, cl(9)); println!("{}", if t0.1 != ov { ((0 % 6) - (0 / 4)) } else { (6 * 6) }); }
2	0	struct S0 { f0: i64, f1: i64 } enum E0 { A(i64), B(i64), C } fn main() { let s0 = S0 { f0: ((1 * 4) - (4 * 5)), f1: ((7 * 8) + (4 % 5)) }; let e0 = E0::C; let ev = match e0 { E0::A(n) => (n + (s0.f1 - s0.f0)), E0::B(n) => (n - (s0.f0 + s0.f1)), E0::C => (4 + s0.f1) }; let v0 = s0.f1; let v1 = (((7 % 8) % 6) + ((7 - ev) - (s0.f1 % 7))); let v2 = ((7 - 3) + (7 * 7)); let v3 = ev; let vv = vec![((v1 / 3) - (0 * 2)), ((6 % 5) % 1), (1 * 0)]; let w0 = 7000000000000000000i64.wrapping_add(7000000000000000000).wrapping_mul(5); println!("{}", if v0 < s0.f1 { if v3 <= s0.f0 { (s0.f1 % 7) } else { (s0.f1 - 9) } } else { (v0 % 6) }); }
3	-1	enum E0 { A(i64), B(i64), C } fn f0(p0: i64, p1: i64) -> i64 { (p1 % 5) } fn main() { let e0 = E0::C; let ev = match e0 { E0::A(n) => (n + (8 % 3)), E0::B(n) => (n - (4 - 4)), E0::C => (1 + 4) }; let v0 = (((ev + ev) - (ev / 1)) + (1 * 5)); let v1 = (((6 * 4) / 7) + ((2 * 9) / 5)); let vv = vec![((2 * 0) / 1), ((8 + 8) - (v1 + 2)), ((5 / 9) % 1)]; let cl = |x: i64| (x + (vv[2] / 6)); let w0 = 7000000000000000000i64.wrapping_add(9000000000000000000).wrapping_mul(9); let mut acc = 0; let mut li = 0; while li < 3 { acc = acc + li; li = li + 1; } let r0 = &v0; let ss = format!("{}-{}", ev, v0); println!("{}", if v0 == (vv.len() as i64) { (((vv.len() as i64) % 8) - (*r0)) } else { ((v0 + 2) - (v0 + (vv.len() as i64))) }); }
4	1	enum E0 { A(i64), B(i64), C } fn r0(p0: i64) -> i64 { if p0 < 1 { 1 } else { (p0 + r0(p0 - 1)) } } fn f0(p0: i64, p1: i64) -> i64 { ((7 * 0) - (8 - p0)) } fn main() { let e0 = E0::C; let ev = match e0 { E0::A(n) => (n + (2 % 8)), E0::B(n) => (n - (4 * 2)), E0::C => (2 - 3) }; let v0 = r0(0); let v1 = (v0 % 3); let v2 = r0(1); let o0: Option<i64> = Some((7 * 3)); let ov = match o0 { Some(n) => (n + (2 * 8)), None => (8 - v0) }; let w0 = 9223372036854775807i64.wrapping_add(9223372036854775807).wrapping_mul(8); let mut acc = 0; let mut li = 0; while li < 6 { acc = acc + li; li = li + 1; } let r0 = &v0; println!("{}", match w0 { 7 => ((8 * 1) - (7 - 7)), 8 => ((8 * 6) % 8), _ => ((4 - ev) % 4) }); }
5	11	struct S0 { f0: i64, f1: i64 } enum E0 { A(i64), B(i64), C } fn f0(p0: i64, p1: i64) -> i64 { ((5 - 0) / 2) } fn main() { let s0 = S0 { f0: ((9 - 4) % 8), f1: ((7 - 8) / 7) }; let e0 = E0::A(((7 % 2) % 4)); let ev = match e0 { E0::A(n) => (n + (4 + s0.f1)), E0::B(n) => (n - (0 * 9)), E0::C => (8 * 1) }; let v0 = (4 * 5); let v1 = ((9 * 1) - ((9 % 7) + (9 / 4))); let v2 = (((3 % 8) + (ev + ev)) - ((s0.f0 % 3) - (3 + s0.f0))); let o0: Option<i64> = None; let ov = match o0 { Some(n) => (n + (5 / 9)), None => v0 }; let cl = |x: i64| (x + (v2 - ov)); let r0 = &v0; let t0 = (ov, s0.f0); println!("{}", match cl(2) { 3 => ((0 * 8) + (v0 % 2)), 9 => ((3 % 4) % 3), _ => ((cl(2) / 2) + (v2 - 8)) }); }
6	0	struct S0 { f0: i64, f1: i64 } fn r0(p0: i64) -> i64 { if p0 < 1 { 6 } else { (p0 + r0(p0 - 1)) } } fn f0(p0: i64, p1: i64) -> i64 { p1 } fn main() { let s0 = S0 { f0: ((6 + 6) % 6), f1: ((2 % 7) + (5 - 2)) }; let v0 = f0(1, 1); let v1 = f0(6, 9); let w0 = 7000000000000000000i64.wrapping_add(9000000000000000000).wrapping_mul(1); let mut acc = 0; let mut li = 0; while li < 6 { acc = acc + li; li = li + 1; } println!("{}", if w0 < s0.f0 { if w0 <= s0.f0 { (s0.f0 % 4) } else { (s0.f0 % 9) } } else { (4 / 1) }); }
7	0	struct S0 { f0: i64, f1: i64 } fn f0(p0: i64, p1: i64) -> i64 { p1 } fn main() { let s0 = S0 { f0: ((1 % 4) / 6), f1: ((7 - 4) - (8 % 6)) }; let v0 = (((5 * 4) + (s0.f0 % 8)) - ((6 + 7) % 2)); let v1 = f0(8, 3); let vv = vec![((8 / 3) / 8), s0.f1, ((v0 / 2) / 3)]; let cl = |x: i64| (x + (6 + 5)); let mut acc = 0; let mut li = 0; while li < 4 { acc = acc + li; li = li + 1; } let r0 = &v0; let ss = format!("{}-{}", cl(4), vv[2]); println!("{}", if (vv.len() as i64) > acc { ((8 % 4) - (vv[2] - cl(4))) } else { ((8 * 0) / 2) }); }
8	2	enum E0 { A(i64), B(i64), C } fn main() { let e0 = E0::B(((7 * 7) % 9)); let ev = match e0 { E0::A(n) => (n + (3 - 9)), E0::B(n) => (n - (7 % 8)), E0::C => (0 * 7) }; let v0 = (4 * 1); let v1 = ((v0 + ev) + (6 * 6)); let v2 = (((4 - v0) + (7 * 1)) + ((ev / 3) + (1 % 6))); let v3 = (9 * 6); let o0: Option<i64> = None; let ov = match o0 { Some(n) => (n + (v0 - v1)), None => (9 * 6) }; let vv = vec![((5 * 0) + (8 - v0)), ((3 % 5) + (0 % 8)), ((6 * 3) - ov)]; let cl = |x: i64| (x + (2 + vv[2])); let w0 = 8000000000000000000i64.wrapping_add(7000000000000000000).wrapping_mul(7); let mut acc = 0; let mut li = 0; while li < 6 { acc = acc + li; li = li + 1; } println!("{}", if v1 == cl(4) { ((vv[2] - v2) / 9) } else { ((5 * 4) % 6) }); }
9	0	struct S0 { f0: i64, f1: i64 } fn r0(p0: i64) -> i64 { if p0 < 1 { 1 } else { (p0 + r0(p0 - 1)) } } fn main() { let s0 = S0 { f0: ((1 * 0) - (9 % 9)), f1: ((1 - 5) / 4) }; let v0 = r0(1); let v1 = (((v0 / 2) / 8) - ((2 * 7) - (5 + s0.f1))); let v2 = ((8 % 7) / 2); let vv = vec![(8 * 3), (5 * 4), (8 * 8)]; let cl = |x: i64| (x + (5 / 9)); let mut acc = 0; let mut li = 0; while li < 3 { acc = acc + li; li = li + 1; } let r0 = &v0; let ss = format!("{}-{}", v1, vv[0]); println!("{}", match vv[2] { 8 => (*r0), 1 => ((v1 + acc) / 8), _ => ((acc % 4) % 3) }); }
10	-446744073709551617	enum E0 { A(i64), B(i64), C } fn r0(p0: i64) -> i64 { if p0 < 1 { 5 } else { (p0 + r0(p0 - 1)) } } fn main() { let e0 = E0::C; let ev = match e0 { E0::A(n) => (n + (5 - 6)), E0::B(n) => (n - (4 + 1)), E0::C => (9 * 7) }; let v0 = ((ev % 7) % 2); let v1 = (1 * 2); let v2 = ((v0 % 6) + (6 * 4)); let vv = vec![((v2 + 5) - v1), ((8 % 7) + (v2 + v2)), (3 * 4)]; let w0 = 9223372036854775807i64.wrapping_add(9000000000000000000).wrapping_mul(2); let r0 = &v0; println!("{}", if vv[0] != v2 { ((2 / 2) + w0) } else { (3 * 1) }); }
